Date,ShortVolume,ShortExemptVolume,TotalVolume
2019-10-01,71303.0,318.0,280396.0
2019-09-30,69798.0,762.0,248234.0
2019-09-27,120640.0,115.0,505506.0
2019-09-26,82771.0,329.0,208739.0
2019-09-25,118402.0,603.0,275094.0
2019-09-24,110547.0,828.0,353438.0
2019-09-23,71915.0,1144.0,181937.0
2019-09-20,73087.0,21.0,256985.0
2019-09-19,54569.0,461.0,202305.0
2019-09-18,66731.0,92.0,164057.0
2019-09-17,60690.0,18.0,198592.0
2019-09-16,53761.0,332.0,214131.0
2019-09-13,100106.0,378.0,205807.0
2019-09-12,172353.0,2661.0,385045.0
2019-09-11,82987.0,529.0,285587.0
2019-09-10,125156.0,45.0,370698.0
2019-09-09,123110.0,1023.0,399271.0
2019-09-06,66153.0,504.0,204843.0
2019-09-05,69638.0,274.0,256492.0
2019-09-04,71463.0,195.0,229537.0
2019-09-03,111894.0,109.0,378265.0
2019-08-30,70838.0,381.0,136504.0
2019-08-29,85245.0,665.0,221046.0
2019-08-28,50851.0,661.0,133301.0
2019-08-27,94353.0,636.0,222269.0
2019-08-26,79497.0,911.0,207870.0
2019-08-23,183664.0,309.0,339694.0
2019-08-22,90695.0,17.0,195377.0
2019-08-21,80411.0,330.0,169151.0
2019-08-20,102493.0,181.0,177192.0
2019-08-19,163042.0,142.0,297830.0
2019-08-16,101489.0,43.0,213656.0
2019-08-15,131480.0,163.0,309298.0
2019-08-14,170489.0,182.0,475267.0
2019-08-13,132440.0,1223.0,285300.0
2019-08-12,105962.0,2364.0,213574.0
2019-08-09,86924.0,1137.0,204146.0
2019-08-08,105459.0,5.0,250985.0
2019-08-07,154356.0,221.0,283771.0
2019-08-06,198887.0,8.0,371731.0
2019-08-05,257292.0,123.0,529093.0
2019-08-02,168701.0,1649.0,381194.0
2019-08-01,189957.0,2520.0,362955.0
2019-07-31,154170.0,1251.0,351895.0
2019-07-30,98394.0,388.0,281665.0
2019-07-29,204969.0,2231.0,447072.0
2019-07-26,632728.0,6816.0,1229436.0
2019-07-25,278816.0,1464.0,519654.0
2019-07-24,114810.0,308.0,303328.0
2019-07-23,131248.0,1697.0,264968.0
2019-07-22,130241.0,2531.0,302727.0
2019-07-19,101097.0,850.0,217160.0
2019-07-18,115115.0,2581.0,252089.0
2019-07-17,127045.0,295.0,231153.0
2019-07-16,145553.0,489.0,282068.0
2019-07-15,138998.0,70.0,224606.0
2019-07-12,100027.0,569.0,217077.0
2019-07-11,131601.0,507.0,276150.0
2019-07-10,134983.0,819.0,299285.0
2019-07-09,130560.0,312.0,306049.0
2019-07-08,120616.0,420.0,275044.0
2019-07-05,157827.0,213.0,269578.0
2019-07-03,90624.0,411.0,233958.0
2019-07-02,102620.0,1865.0,218500.0
2019-07-01,111578.0,1400.0,271610.0
2019-06-28,107759.0,20.0,262704.0
2019-06-27,129478.0,32.0,262911.0
2019-06-26,179294.0,100.0,380065.0
2019-06-25,140474.0,2504.0,398503.0
2019-06-24,78511.0,267.0,219214.0
2019-06-21,182247.0,1195.0,367077.0
2019-06-20,124210.0,564.0,227195.0
2019-06-19,116095.0,0.0,248343.0
2019-06-18,162972.0,55.0,333994.0
